Sample_ID,percent_N,percent_C,percent_S,d15N,d13C,d34S,Notes
FON_P3_20210630,6.198,28.073,0.622,5.815922996,-32.98569045,7.8666001,
GLN_P3_20210712,2.758,13.36,0.302,9.753886466,-27.27501611,-4.4679539,
ALC_P1_20210614_DUP,4.944,26.139,0.685,8.114991236,-31.54564384,-3.4935479,
GLN_P1_20210809,12.756,44.855,0.951,14.33975645,-28.20889574,-6.6461078,
"GRY_P1_20210902	",,,,,,,red flag
ALS_P1_20220621,8.15826263,42.29505386,0.911845094,6.4601719,-27.48352444,-12.4091639,
GRY_P1_20210902,6.120084906,46.82286274,1.404816038,11.61010086,-31.26158344,-2.21153353,
GLN_P2_20210809,5.496501535,37.52782824,2.365297647,10.6210363,-28.31041816,-2.209226238,red flag
GLN_P1_20210609,4.359631158,28.58026738,0.793779494,10.48395826,-32.41713996,-6.505471476,
GRN_P1_20220601,4.462989554,23.64725427,0.487445478,6.66599114,-27.04997092,3.339225374,
GRY_P1_20220623,5.190702632,28.76463325,0.7564939,8.80586426,-31.9795612,-2.846960765,
GRN_P1_20220725,3.266961538,33.26020974,0.660904103,5.32513338,-25.64594376,3.605178187,
GRN_P3_20220601,5.745705678,28.27738123,0.547428737,6.7068315,-26.29447636,3.688628702,
GRY_P2_20210902,10.99545399,42.11721157,1.183176729,12.49847978,-30.2709836,-6.217608124,
WHE_P3_20210903,6.988680138,38.33744248,1.111737543,1.08582314,-28.26477272,-3.855170918,
GRY_P2_20220817,10.76731824,41.96384636,1.031570083,12.09876992,-28.527234,-4.275613018,
WHE_P1_20210701,5.160753075,30.73523405,0.976747039,9.15381604,-26.13549892,-4.181236841,
WHE_P1_20210903,9.663888356,39.68626792,1.308390297,6.19673136,-26.85371116,-5.83661242,
WHE_P2_20210707,4.981034434,32.69334434,1.256549057,9.44758358,-25.66946992,-4.630271743,
Replicate C9,4.823778824,31.8351698,1.278636209,9.31758184,-25.8098062,-4.735311984,
VIV_P2_20210629,2.682187862,21.74184966,0.530447724,3.35994378,-32.73450864,11.91956203,
FON_P3_20211001,4.417410981,22.95481682,0.575631893,3.70627812,-31.72346996,10.44977076,
GRN_P2_20220725,4.094275682,25.45152978,0.46368536,6.2923625,-24.08665176,3.67776033,
GLN_P3_20210809,,3.76186659,0.174167623,0.8021646,-24.66968628,,red flag
WHE_P2_20210903,8.290155429,38.96821943,1.060093714,5.11345092,-27.54734208,-5.380402308,
GLN_P1_20210712,2.716,15.717,1.477,10.1746457,-27.399236,-6.664455,yellow flag
FON_P3_20210630_DUP,5.18,24.877,0.504,6.5221241,-33.1319168,8.32327,yellow flag
VIV_P3_20210629,4.821,23.237,0.46,5.026166,-33.1688642,10.4925,yellow flag
GLN_P2_20210609_DUP,7.649,34.982,0.707,11.7120179,-32.20808596,-6.559605,yellow flag
GRY_P3_20220817,10.108,38.654,1.241,11.1847457,-28.13181544,-4.122425,yellow flag
GRY_P3_20220623,5.837,28.894,1.078,9.5241413,-32.3268524,-3.38498,yellow flag
VIV_P1-20210827,4.889,31.467,0.633,3.4039454,-32.09758406,3.967335,yellow flag
FON_P2_20210630,4.874,29.042,0.586,5.7615188,-33.56099279,8.655295,yellow flag
GRY_P1_20220930,6.765,25.708,2.679,9.2362628,-30.53140322,-1.887955,yellow flag
GRY_P2_20220930,8.01,30.255,1.342,9.4695959,-31.19840102,-2.894515,yellow flag
GRY_P3_20220930,8.463,32.87,0.847,9.1150508,-31.52864272,-3.064605,yellow flag
GRN_P2_20220601,4.727,22.563,0.418,6.5827301,-25.88332307,3.154165,yellow flag
GRY_P2_202220623,6.146,29.563,0.693,9.2554547,-31.46845735,-2.89568,yellow flag
GRN_P3_20220725,4.789,32.88,0.497,6.6766694,-25.39833983,3.31144,yellow flag
GLN_P3_20210609,7.577,34.039,0.62,11.763533,-32.07045689,-8.144005,yellow flag
WHE_P1_20220623,5.081,42.299,0.416,9.2756567,-29.60358595,-3.91855,yellow flag
GRY_P3_20210714,7.461,32.266,0.724,12.6847442,-31.57511866,-2.971405,yellow flag
FON_P1_20210630,5.234,29.116,0.702,6.1786901,-33.70474735,8.94538,yellow flag
ALC_P2_20210614,3.957,36.884,0.394,7.6938401,-36.1197947,-2.677825,yellow flag
VIV_P1_20210629,3.12,27.305,0.354,3.1595012,-34.1518595,10.02184,yellow flag
ALC_P1_20210614,6.294,29.29,0.858,9.1796972,-32.32850531,-3.7904,yellow flag
WHE_P3_20210707,6.848,33.173,0.84,9.3453536,-26.38109206,-4.956565,yellow flag
WHE_P3_20221012_DUP,8.084,41.933,0.862,8.7150512,-21.82392196,-5.203545,yellow flag
WHE_P2_20220817_DUP,12.763,46.057,0.912,6.5574776,-20.90339693,-4.313485,yellow flag
GLN_P2_20210712,2.754,15.726,0.657,10.3362617,-27.0307343,-5.26296,yellow flag
GRY_P3_20220907_DUP,11.99,41.749,0.951,12.13515292,-30.09416711,-8.337062,
SAR_P2_20220912,9.874,42.35,0.721,11.03170346,-31.38042237,-2.21779,
SAR_P1_20220912,9.445,49.711,0.682,10.10245169,-31.93112689,-2.2376426,
GRY_P1_20220939_DUP,8.317,31.647,1.201,8.783324179,-31.34589156,-2.7619848,
GRY_P3_20220812_DUP,11.739,41.603,1.013,11.45822582,-27.91055397,-4.7530838,
SAR_P3_20220812_DUP,6.288,31.036,0.688,7.885648542,-30.23680933,-0.822269,
ALS_P3_20220812_DUP,9.665,41.602,0.827,4.743678845,-23.84151217,-12.2515276,
SAR_P3_20220524,4.163,28.768,0.478,6.891348254,-32.06806375,-3.572438,
ALS_P3_20220725,5.551,38.577,0.647,3.091370552,-27.14865939,-10.1775148,
Replicate C9,5.722,40.595,0.677,3.287822532,-27.39856963,-10.5477074,
SAR_P2_20220524,3.521,28.444,0.473,6.020028659,-32.42819528,-4.9714624,
SAR_P1_20220524,3.316,27.243,0.434,5.980229859,-34.02582272,-4.349025,
GRN_P3_20220920_11m_Vertical_Tow,8.02,34.951,0.604,5.302083576,-28.17731583,3.21248,
GRN_P2_20220920_11m_Vertical_Tow,10.462,39.261,0.704,6.112171716,-29.48888462,2.938047,
SAR_P1_20220831,11.585,46.9,0.776,9.865527748,-29.84432175,-2.3684362,
SAR_P1_20220912_DUP,9.038,47.994,0.654,10.29048266,-32.0478764,-2.1512254,
ALS_P3_202201017_DUP,5.672,30.59,1.384,3.079303089,-24.37510433,-8.0299306,
SAR_P3_20220912,9.885,43.485,0.771,9.633511534,-31.62191477,-2.3369056,
VIV_P2_20210827,9.016,39.261,1.194,1.720838475,-32.72411874,14.884641,
SAR_P2_20220831,10.609,43.849,0.817,9.953134956,-30.78735477,-1.814899,
SAR_P3_20220831,9.791,41.391,0.719,9.515885045,-30.88917628,-1.774026,
SAR_P3_20220831_DUP,9.786,45.713,0.719,10.57333359,-31.41726706,-1.7541734,
VIV_P3_20210827,8.917,35.129,1.689,2.290470756,-31.90342735,16.7040734,
ALS_P2_20220715,6.994,41.384,0.921,4.731958301,-28.16609748,-8.7527988,
ALS_P1_20220715,7.272,36.919,0.767,4.234649182,-26.66559767,-10.8291472,
NFL_P1_20210817,6.226,42.394,0.615,0.65668157,-32.00920443,0.055285,
ALS_P1_20220812,4.725,33.735,0.755,5.099292126,-22.08266953,-8.289281,
NFL_P2_20210914,6.87,43.028,0.638,1.068803859,-31.82254904,-0.333272,
NFL_P3_20210817,7.909,41.901,0.633,1.411504912,-31.07924111,0.637567,
NFL_P2_20210720,7.167,42.137,1.006,1.406034912,-32.70331455,0.833506,
ALS_P3_20220812,2.431,36.537,0.674,5.406767699,-19.09540358,-5.926943,
NFL_P2_20210817,8.384,42.149,0.762,1.503335621,-31.46670309,-0.515927,
NFL_P1_20210914,6.373,42.128,0.621,0.537178118,-31.76543748,-0.213716,
ALS_P2_20220812,7.623,34.977,0.905,3.93369023,-23.47669838,-10.085942,
NFL_P3_20210914,7.028,48.111,0.602,2.151776413,-32.21219412,-2.64026,
NFL_P3_20210720,9.888,46.221,0.793,4.352639897,-32.51587948,-2.657972,
ALS_P3_20220621,8.687,40.515,1.041,6.573667247,-27.70845057,-12.518021,
SAR_P2_20220621,4.49,30.008,0.654,6.939529471,-27.8282484,-5.548349,
NFL_P2_20211019,9.521,43.182,0.698,1.9316972,-29.8936597,-1.956134,
ALS_P3_20221017,5.095,34.514,0.664,3.074864176,-25.1939046,-14.981096,
NFL_P1_20211019,9.057,42.41,0.7,1.770261866,-30.24638694,-3.056492,
ALS_P2_20221017,6.632,38.718,0.669,4.307857626,-24.96050739,-15.122792,
ALS_P2_20220621,8.575,43.696,0.78,6.41909087,-28.33546922,-13.734614,
SAR_P1_20220621,5.377,30.163,0.637,6.842090317,-27.27568918,-5.25278,
Replicate C9,5.107,28.916,0.602,6.733918221,-26.97371912,-4.844297,
NFL_P3_20211109,6.843,41.361,0.597,4.601661086,-32.66242034,-4.629539,
SAR_P3_20220728,5.957,30.559,0.918,7.505738777,-28.89360315,-2.683433,
BOY_LPD_20220615,3.143,19.21,0.429,9.875680551,-33.6729246,-4.614041,
WHE_P2_20220817,8.938,44.11,1.469,6.538008845,-22.2476888,-3.164978,
SAR_P1_20220812,10.72,44.121,0.98,10.0248982,-29.3069505,-2.029196,
WHE_P3_20220817,7.608,40.062,1.637,5.454015646,-22.16077596,-2.947482,
NFL_P2_20211109,9.252,43.559,0.745,2.029554163,-30.29187781,0.462246,
WHE_P3_20220623,8.557,41.739,0.829,10.66651131,-27.68398338,-5.949579,
SAR_P3_20220812,8.242,38.193,0.816,9.468359777,-30.10222055,-1.357845,
NFL_P3_20211019,5.95,54.513,0.598,3.96593671,-33.29755758,-0.32328,
WHE_P3_20220726,5.761,35.648,0.966,7.891449849,-23.35245637,-4.184004,
WHE_P1_20220726,9.571,45.643,1.175,9.571024735,-25.21310043,-4.569333,
BOY_TPD_20220712,6.65,37.093,0.563,9.260677652,-24.79879266,-2.508876,
BOY_TPD_20220829,10.418,43.361,0.889,8.49629219,-29.79912745,-3.280773,
SAR_P2_20220728,8.457,40.837,0.833,9.188758242,-30.22504769,-1.704765,
GRN_P2_20220831,7.214,37.401,0.709,4.616681701,-28.72653325,3.823653,
BOY_LPD_20220712,5.731,35.426,0.731,8.379731262,-26.88361962,-0.882069,
WHE_P2_20220726,7.654,41.62,1.471,9.725738745,-24.72880613,-3.081294,
BOY_RPD_20220510,4.244,19.449,0.502,12.24524114,-30.83322126,-1.689897,
BOY_LPD_20220510,2.255,17.632,0.455,10.71754926,-27.2374101,0.342063,
GRN_P1_20220831,5.824,28.696,0.624,5.197302354,-29.00312811,3.922773,
SAR_P1_20220728,5.308,32.111,0.683,5.976701707,-29.50425659,-2.117352,
WHE_P1_20220817,7.604,41.334,1.355,7.689278338,-25.0456939,-2.674902,
GRY_P2_20220907,12.324,43.412,1.157,12.265894,-30.3511871,-4.202589,
GRN_P3_20220831,5.108,25.409,0.555,4.897474173,-27.91217998,4.065258,
BOY_TPD_20220510,2.494,13.732,0.442,11.71992439,-30.4554265,-0.189468,
GRY_P1_20220907,7.65,35.811,0.663,10.25798565,-31.5550645,-3.886644,
WHE_P2_20220623,8.481,40.937,0.887,10.72884957,-26.98150724,-4.537119,
GRY_P3_20220907,10.581,42.346,0.903,11.0249879,-30.85453676,-4.986876,
WHE_P1_20221017,5.7,42.7,1.1,7.4,-23.7,-3.6,
GRY_P2_20221020,3.9,18.7,0.4,7,-29.9,-2.8,
JKL_NORTH_20220728,5.5,35.3,0.5,2,-29.3,13.2,
NFL_UPPER2_20211109,8.6,43.2,0.7,4.8,-31.3,-0.6,
GRN_P2_20221019,7.2,39.1,0.5,5.8,-27.8,3.1,
GRY_P3_20220726,3.3,29.2,0.8,8.9,-32.1,-2.2,
JKL_MID_20220728,7.3,38.8,0.6,3.5,-30.9,13.4,
GRY_P1_20220726,3.5,31.2,0.8,8.6,-31.2,-1.8,
WHE_P1_20220907_DUP,8.8,42.9,1.5,7.4,-21.8,-2.9,
GRY_P2_20220726,2.9,29.9,0.4,7.9,-29.9,-2.4,
WHE_P3_20220907,7.5,39,4,7.4,-19.4,-1.4,
WHE_P3_20221017,7.3,38.9,1.2,7.1,-20.9,-5.2,
BOY_RPD_20220927,9.6,46.5,0.7,10.3,-32.5,-5.1,
WHE_P2_20221017,9,45.1,1,8.7,-21.6,-4.9,
WHE_P1_20220907,9.4,43.2,1.4,8,-21.9,-2.6,
SAR_P2_20220812,10.8,42.3,0.9,10.4,-29.4,-2,
WHE_P2_20220907,5.1,31.3,4.1,6.7,-20.3,-1.3,
GRN_P1_20221019,7.5,38.5,0.7,6,-30,3.1,
GRY_P1_20220817,9.5,39.8,1.5,12.2,-28.2,-3.1,
Replicate C9,9.6,39.7,1.9,12.3,-28.2,-2.8,
SAR_P3_20220621,6,32.1,0.8,7.8,-27.4,-2.7,
GRY_P1_20221021_DUP,4.1,19.9,1.4,5.5,-29.3,-1,
JKL_SIGNAL_20220728,6.5,42.8,0.6,3.2,-32.9,13.9,
