Reservoir_ID,Site_ID,DUP,Collection_Date,Depth_m,Temp_C,pH,SPC_uScm,DO_mgL,DO_percent,Secchi_m,WaterDepth_m,chl_a_ugL
ALS,P1,,20220621,0.5,15,8.85,1372,9.12,90.7,2.7432,NA,0.93869364
ALS,P2,,20220621,0.5,15.4,8.93,1372,9.33,93.7,2.286,NA,0.94377504
ALS,P3,,20220621,0.5,15.4,8.92,1371,8.54,85.8,2.1336,NA,1.13585196
ALS,P1,,20220715,0.5,19.5,8.6,1671,8.99,98.4,2.7432,2.7432,0.60772512
ALS,P2,,20220715,0.5,20,8.68,1671,9.42,104.1,4.4196,5.4864,0.40751796
ALS,P3,,20220715,0.5,19.9,8.67,1669,9.19,101.4,3.048,NA,0.46849476
ALS,P1,,20220727,0.5,20,8.85,1500,8.77,69.8,2.286,2.286,0.57351036
ALS,P2,,20220727,0.5,20.1,8.85,1498,8.68,96.2,4.672,4.4196,0.42716604
ALS,P3,,20220727,0.5,20.2,8.85,1499,8.28,91.8,2.8956,2.8956,0.57215532
ALS,P1,,20220812,0.5,20.8,8.98,3034,10.3,116.2,2.4384,2.4384,0.67750968
ALS,P2,,20220812,0.5,20.7,8.99,3033,10.06,113.2,3.9624,4.93296,0.49322424
ALS,P3,,20220812,0.5,20.6,8.98,3031,9.7,109,2.7432,3.07848,0.69580272
ALS,P1,,20220902,0.5,19.3,9.2,1602,12.64,137.4,2.286,2.286,0.72154848
ALS,P2,,20220902,0.5,19.4,9.32,1600,12.56,137.3,4.2672,2.6482,0.49288548
ALS,P3,,20220902,0.5,19.9,9.21,1602,12.6,138.8,2.1336,2.1336,0.50237076
ALS,P1,,20220912,0.5,14.9,9.01,1690,9.31,92.5,2.4384,2.4384,NA
ALS,P2,,20220912,0.5,15,9.14,1689,9.06,90.3,4.572,4.572,NA
ALS,P3,,20220912,0.5,14.8,9.14,1689,9.01,89.4,2.7432,2.8956,NA
ALS,P1,,20220928,0.5,12.4,8.84,1572,9.81,92.4,2.5908,2.5908,0.6917376
ALS,P2,,20220928,0.5,12.9,8.98,1572,10.52,100.1,4.1148,2.7432,0.64702128
ALS,P3,,20220928,0.5,12.9,8.93,1572,9.4,89.5,2.7432,7.432,0.75135936
ALS,P1,,20221017,0.5,10.4,8.97,1588,12.43,110.9,1.6764,1.8288,0.90447888
ALS,P2,,20221017,0.5,8.9,9,1587,12.48,108.3,3.6576,3.9624,0.476625
ALS,P3,,20221017,0.5,10.5,8.92,1584,12.2,110,2.4384,2.4384,0.67446084
BOY,LPD,,20220510,0.5,9.8,8.1,615.1,11.37,119.3,4.1,,4.8
BOY,RPD,,20220510,0.5,10.4,8.01,652.5,10.49,112.1,0.7,,4.5
BOY,TPD,,20220510,0.5,9.11,8.2,613.9,11.07,114.6,2.4,,4.7
BOY,LPD,,20220615,0.5,16.1,9.2,577.3,8.6,103.8,2.2,30,3.6
BOY,RPD,,20220615,0.5,15,7.6,281.4,7.7,91.6,0.25,12,0.7
BOY,TPD,,20220615,0.5,14.9,8.1,443.8,7.9,93.2,0.33,17,0.5
