Sample_ID,percent_N,percent_C,percent_S,d15N,d13C,d34S,Notes,C_N_ratio,perc_lipid,d13C_corrected
ALC_P1_20210614,6.294,29.29,0.858,9.1796972,-32.32850531,-3.7904,yellow flag,4.653638386,0.26938887,-30.57747766
ALC_P1_20210614_DUP,4.944,26.139,0.685,8.114991236,-31.54564384,-3.4935479,,5.287014563,0.356914955,-29.22569663
ALC_P2_20210614,3.957,36.884,0.394,7.6938401,-36.1197947,-2.677825,yellow flag,9.321202932,0.635240213,-31.99073332
ALS_P1_20220621,8.15826263,42.29505386,0.911845094,6.4601719,-27.48352444,-12.4091639,,5.184321194,0.344176436,-25.2463776
ALS_P1_20220715,7.272,36.919,0.767,4.234649182,-26.66559767,-10.8291472,,5.076870187,0.330296054,-24.51867332
ALS_P1_20220812,4.725,33.735,0.755,5.099292126,-22.08266953,-8.289281,,7.13968254,0.52378835,-18.67804525
ALS_P2_20220621,8.575,43.696,0.78,6.41909087,-28.33546922,-13.734614,,5.09574344,0.332776456,-26.17242226
ALS_P2_20220715,6.994,41.384,0.921,4.731958301,-28.16609748,-8.7527988,,5.917071776,0.425391456,-25.40105302
ALS_P2_20220812,7.623,34.977,0.905,3.93369023,-23.47669838,-10.085942,,4.588351043,0.258993053,-21.79324354
ALS_P2_20221017,6.632,38.718,0.669,4.307857626,-24.96050739,-15.122792,,5.838057901,0.417614546,-22.24601284
ALS_P3_20221017_DUP,5.672,30.59,1.384,3.079303089,-24.37510433,-8.0299306,,5.393159379,0.369571755,-21.97288792
ALS_P3_20220621,8.687,40.515,1.041,6.573667247,-27.70845057,-12.518021,,4.663865546,0.270990991,-25.94700913
ALS_P3_20220725,5.551,38.577,0.647,3.091370552,-27.14865939,-10.1775148,,6.949558638,0.510760298,-23.82871746
ALS_P3_20220812,2.431,36.537,0.674,5.406767699,-19.09540358,-5.926943,,15.02961744,0.773780004,-14.06583356
ALS_P3_20220812_DUP,9.665,41.602,0.827,4.743678845,-23.84151217,-12.2515276,,4.30439731,0.210110091,-22.47579658
ALS_P3_20221017,5.095,34.514,0.664,3.074864176,-25.1939046,-14.981096,,6.774092247,0.498087733,-21.95633434
BOY_LPD_20220510,2.255,17.632,0.455,10.71754926,-27.2374101,0.342063,,7.819068736,0.565165608,-23.56383365
BOY_LPD_20220615,3.143,19.21,0.429,9.875680551,-33.6729246,-4.614041,,6.111994909,0.443716814,-30.78876531
BOY_LPD_20220712,5.731,35.426,0.731,8.379731262,-26.88361962,-0.882069,,6.181469203,0.449968949,-23.95882145
BOY_RPD_20220510,4.244,19.449,0.502,12.24524114,-30.83322126,-1.689897,,4.582704995,0.258080107,-29.15570056
BOY_RPD_20220927,9.6,46.5,0.7,10.3,-32.5,-5.1,,4.84375,0.298064516,-30.56258065
BOY_TPD_20220510,2.494,13.732,0.442,11.71992439,-30.4554265,-0.189468,,5.506014435,0.382493446,-27.9692191
BOY_TPD_20220712,6.65,37.093,0.563,9.260677652,-24.79879266,-2.508876,,5.577894737,0.390451028,-22.26086097
BOY_TPD_20220829,10.418,43.361,0.889,8.49629219,-29.79912745,-3.280773,,4.162123248,0.183109246,-28.60891735
FON_P1_20210630,5.234,29.116,0.702,6.1786901,-33.70474735,8.94538,yellow flag,5.562858235,0.388803407,-31.1775252
FON_P2_20210630,4.874,29.042,0.586,5.7615188,-33.56099279,8.655295,yellow flag,5.958555601,0.429391915,-30.76994534
FON_P3_20210630,6.198,28.073,0.622,5.815922996,-32.98569045,7.8666001,,4.529364311,0.249342785,-31.36496235
FON_P3_20210630_DUP,5.18,24.877,0.504,6.5221241,-33.1319168,8.32327,yellow flag,4.802509653,0.292036821,-31.23367746
FON_P3_20211001,4.417410981,22.95481682,0.575631893,3.70627812,-31.72346996,10.44977076,,5.196441291,0.345706069,-29.47638051
GLN_P1_20210609,4.359631158,28.58026738,0.793779494,10.48395826,-32.41713996,-6.505471476,,6.555661785,0.481364336,-29.28827177
GLN_P1_20210712,2.716,15.717,1.477,10.1746457,-27.399236,-6.664455,yellow flag,5.786818851,0.412457848,-24.71825999
GLN_P1_20210809,12.756,44.855,0.951,14.33975645,-28.20889574,-6.6461078,,3.516384447,0.033097759,-27.9937603
GLN_P2_20210609_DUP,7.649,34.982,0.707,11.7120179,-32.20808596,-6.559605,yellow flag,4.573408289,0.256571951,-30.54036828
GLN_P2_20210712,2.754,15.726,0.657,10.3362617,-27.0307343,-5.26296,yellow flag,5.710239651,0.404578405,-24.40097467
GLN_P2_20210809,5.496501535,37.52782824,2.365297647,10.6210363,-28.31041816,-2.209226238,red flag,6.827584419,0.502020072,-25.04728769
GLN_P3_20210609,7.577,34.039,0.62,11.763533,-32.07045689,-8.144005,yellow flag,4.492411245,0.243168131,-30.48986404
