Date,Site_ID,YSI_Depth_m,Temp_C,DO_%,DO_mgL,SPC_uScm,pH,Nitrate,Secchi_m,WaterDepth_m,Notes
20220511,SAR_P1,0,10.3,80.9,9.04,377,8.4,NA,NA,NA,"YSI measurements potentially at surface, 1 m, 2m, 3m and 4m"
20220511,SAR_P1,0.5,10.2,78,8.76,374,8.36,NA,NA,NA,"YSI measurements potentially at surface, 1 m, 2m, 3m and 4m"
20220511,SAR_P1,1,10.2,78.2,8.79,377.6,8.33,NA,NA,NA,"YSI measurements potentially at surface, 1 m, 2m, 3m and 4m"
20220511,SAR_P1,1.5,10.2,86.8,9.73,372.4,8.38,NA,NA,NA,"YSI measurements potentially at surface, 1 m, 2m, 3m and 4m"
20220511,SAR_P1,2,10.3,88.5,9.8,351.4,8.39,NA,NA,NA,"YSI measurements potentially at surface, 1 m, 2m, 3m and 4m"
20220511,SAR_P1,2.5,NA,NA,NA,NA,NA,NA,NA,NA,"YSI measurements potentially at surface, 1 m, 2m, 3m and 4m"
20220511,SAR_P1,3,NA,NA,NA,NA,NA,NA,NA,NA,"YSI measurements potentially at surface, 1 m, 2m, 3m and 4m"
20220511,SAR_P1,3.5,NA,NA,NA,NA,NA,NA,NA,NA,"YSI measurements potentially at surface, 1 m, 2m, 3m and 4m"
20220511,SAR_P2,0,10.3,77.9,8.72,370.3,8.34,NA,1.2192,NA,
20220511,SAR_P2,0.5,10.3,77.9,8.72,370.2,8.32,1310,1.2192,NA,
20220511,SAR_P2,1,10.3,78,8.72,370.2,8.32,1325,1.2192,NA,
20220511,SAR_P2,1.5,10.3,77.9,8.72,370.2,8.31,13.44,1.2192,NA,
20220511,SAR_P2,2,10.3,77.9,8.71,370.1,8.31,13.93,1.2192,NA,
20220511,SAR_P2,2.5,10.3,77.8,8.7,370.1,8.32,14.4,1.2192,NA,
20220511,SAR_P2,3,10.4,77.9,8.71,370.1,8.32,14.65,1.2192,NA,
20220511,SAR_P2,3.5,NA,NA,NA,NA,NA,NA,1.2192,NA,
20220511,SAR_P3,0,10.6,78.7,8.74,370.1,8.47,1180,1.2192,2.8956,
