lake_id,siteID,DUP,Date,Fb,Fa,Fb-Fa,chl_a reading,chl_a (ug/L)
WHE P1,P1,,20210602,235.5,172,63.5,59.55375,1.191075
WHE P2,P2,,20210602,303.5,219.4,84.1,76.99989,1.5399978
WHE P3,P3,,20210602,188.1,135.7,52.4,50.15316,1.0030632
WHE P3(dup),P3,DUP,20210602,194.8,137.2,57.6,54.55704,1.0911408
GLN P1,P1,,20210609,282,210.6,71.4,66.24426,1.3248852
GLN P2,P2,,20210609,268.5,211,57.5,54.47235,1.089447
GLN P2(dup),P3,DUP,20210609,300.3,214.2,86.1,78.69369,1.5738738
GLN P3,P3,,20210609,324.4,268.7,55.7,52.94793,1.0589586
GUE P1,P1,,20210611,190.1,143.6,46.5,45.15645,0.903129
GUE P2,P2,,20210611,383.1,283.2,99.9,90.38091,1.8076182
GUE P3,P3,,20210611,193.5,144.6,48.9,47.18901,0.9437802
ALC P1,P1,,20210614,148,109.9,38.1,38.04249,0.7608498
ALC P1(dup),P1,DUP,20210614,86.84,61.88,24.96,26.914224,0.53828448
ALC P2,P2,,20210614,84.84,65.98,18.86,21.748134,0.43496268
ALC P3,P3,,20210614,88.18,62.7,25.48,27.354612,0.54709224
OCE P1,P1,,20210616,274.9,187.8,87.1,79.54059,1.5908118
OCE P2,P2,,20210616,276.6,195.8,80.8,74.20512,1.4841024
OCE P3,P3,,20210616,287.1,204.1,83,76.0683,1.521366
GRY P1,P1,,20210604,287.4,199.6,87.8,80.13342,1.6026684
GRY P2,P2,,20210604,527.3,375.7,151.6,134.16564,2.6833128
GRY P3,P3,,20210604,721.7,577.7,144,127.7292,2.554584
PIL P1,P1,,20210617,322.7,232.5,90.2,82.16598,1.6433196
PIL P2,P2,,20210617,329.5,233,96.5,87.50145,1.750029
PIL P2(dup),P3,DUP,20210617,324,237.9,86.1,78.69369,1.5738738
PIL P3,P3,,20210617,380.6,301.9,78.7,72.42663,1.4485326
ALC P1,P1,,20210712,160.8,116.1,44.7,43.63203,0.8726406
ALC P2,P2,,20210712,,,,,0.66837
ALC P3,P3,,20210712,,,,,1.108
OCE P1,P1,,20210727,820,597.9,222.1,193.87209,3.8774418
OCE P2,P2,,20210727,710.1,504.9,205.2,179.55948,3.5911896
OCE P3,P3,,20210727,638.1,454.5,183.6,161.26644,3.2253288
GRY P1,P1,,20210714,1016,715.6,300.4,260.18436,5.2036872
GRY P1(dup),P1,DUP,20210714,1023,670.6,352.4,304.22316,6.0844632
GRY P2,P2,,20210714,866.7,599.2,267.5,232.32135,4.646427
GRY P3,P3,,20210714,1378,977.6,400.4,344.87436,6.8974872
WHE P1,P1,,20210707,386.1,316.9,69.2,64.38108,1.2876216
WHE P2,P2,,20210707,389.4,280.5,108.9,98.00301,1.9600602
WHE P3,P3,,20210707,339.3,241.3,98,88.7718,1.775436
GLN P1,P1,,20210712,458.6,335.9,122.7,109.69023,2.1938046
GLN P2,P2,,20210712,765.6,550.1,215.5,188.28255,3.765651
GLN P3,P3,,20210712,1748,1303,445,382.6461,7.652922
ALC P1,P1,,20210823,379.9,283,96.9,87.84021,1.7568042
ALC P2,P2,,20210823,341.7,230.9,110.8,99.61212,1.9922424
ALC P3,P3,,20210823,291.2,200,91.2,83.01288,1.6602576
FON P1,P1,,2210828,1686,1189,497,426.6849,8.533698
FON P1 (dup),P1,DUP,2210828,1626,1100,526,451.245,9.0249
FON P2,P2,,2210828,1153,855.3,297.7,257.89773,5.1579546
FON P3,P3,,2210828,1435,965.3,469.7,403.56453,8.0712906
GRY P1,P1,,20210902,1371,1005,366,315.741,6.31482
GRY P2,P2,,20210902,1566,1284,282,244.6014,4.892028
GRY P3,P3,,20210902,1602,1210,392,337.7604,6.755208
VIV P1,P1,,20210827,855.5,579.8,275.7,239.26593,4.7853186
VIV P2,P2,,20210827,5041,3620,1421,1209.2205,24.18441
VIV P3,P3,,20210827,4613,3291,1322,1125.3774,22.507548
WHE P1,P1,,20210903,4225,2773,1452,1235.4744,24.709488
WHE P2,P2,,20210903,4985,3361,1624,1381.1412,27.622824
WHE P3,P3,,20210903,4621,2996,1625,1381.9881,27.639762
GRY P1,P1,,20211003,1342,667.6,674.4,576.92496,11.5384992
GRY P2,P2,,202101003,1397,719.2,677.8,579.80442,11.5960884
GRY P2(dup),P2,DUP,20211003,1342,667.6,674.4,576.92496,11.5384992
GRY P3,P3,,20211003,2468,1237,1231,1048.3095,20.96619
FON P1,P1,,20211001,1102,527.3,574.7,492.48903,9.8497806
FON P2,P2,,20211001,nc,nc,nc,nc,nc
FON P3,P3,,20211001,1102,527.3,574.7,492.48903,9.8497806
BOY_EastShore,EastShore,,20210622,nc,nc,nc,nc,0.2
BOY_EastShore,EastShore,,20210721,nc,nc,nc,nc,2.6
BOY_EastShore,EastShore,,20210811,nc,nc,nc,nc,9.8
BOY_EastShore,EastShore,,20210915,nc,nc,nc,nc,5.4
BOY_EastShore,EastShore,,20211005,nc,nc,nc,nc,5.4
BOY_TC_Campground,EastShore,,20210622,nc,nc,nc,nc,0.2
BOY_TC_Campground,TCCampground,,20210721,nc,nc,nc,nc,4
BOY_TC_Campground,TCCampground,,20210811,nc,nc,nc,nc,14
BOY_TC_Campground,TCCampground,,20210915,nc,nc,nc,nc,12
BOY_TC_Campground,TCCampground,,20211005,nc,nc,nc,nc,6.1
BOY_Fremont_Bay,FremontBay,,20210622,nc,nc,nc,nc,0.2
BOY_Fremont_Bay,FremontBay,,20210721,nc,nc,nc,nc,4.8
BOY_Fremont_Bay,FremontBay,,20210811,nc,nc,nc,nc,28
BOY_Fremont_Bay,FremontBay,,20210915,nc,nc,nc,nc,46
BOY_Fremont_Bay,FremontBay,,20211005,nc,nc,nc,nc,0.2
BOY_RPD,RPD,,20210622,nc,nc,nc,nc,0.2
BOY_RPD,RPD,,20210721,nc,nc,nc,nc,3.6
BOY_RPD,RPD,,20210811,nc,nc,nc,nc,16
BOY_RPD,RPD,,20210915,nc,nc,nc,nc,20
BOY_RPD,RPD,,20211005,nc,nc,nc,nc,38
BOY_TPD,TPD,,20210622,nc,nc,nc,nc,2.1
BOY_TPD,TPD,,20210721,nc,nc,nc,nc,4.6
BOY_TPD,TPD,,20210811,nc,nc,nc,nc,3.8
BOY_TPD,TPD,,20210915,nc,nc,nc,nc,10
BOY_TPD,TPD,,20211005,nc,nc,nc,nc,7.4
BOY_CottonwoodCreek,CottonwoodCreek,,20210622,nc,nc,nc,nc,0.2
BOY_CottonwoodCreek,CottonwoodCreek,,20210721,nc,nc,nc,nc,4.1
BOY_CottonwoodCreek,CottonwoodCreek,,20210811,nc,nc,nc,nc,6.1
BOY_CottonwoodCreek,CottonwoodCreek,,20210915,nc,nc,nc,nc,7.8
BOY_CottonwoodCreek,CottonwoodCreek,,20211005,nc,nc,nc,nc,9.6
BOY_LPD,LPD,,20210622,nc,nc,nc,nc,0.2
BOY_LPD,LPD,,20210721,nc,nc,nc,nc,2.7
BOY_LPD,LPD,,20210811,nc,nc,nc,nc,6.8
BOY_LPD,LPD,,20210915,nc,nc,nc,nc,4.3
BOY_LPD,LPD,,20211005,nc,nc,nc,nc,0.2
