"","Site_ID_pseudonym","Reservoir_ID","Reservoir_Name","Sample_ID","Site_ID","Collection_Date","Depth_m","chl_a_ugL","Temp_C","pH","SPC_uScm","DO_mgL","DO_percent","Secchi_m","WaterDepth_m"
"1","C","ALC","Alcova","ALC_P1_20210614","P1","6/14/2021",0.5,0.43496268,18,8.496666667,437.05,8.89,93.4,8.25,18.288
"2","C","ALC","Alcova","ALC_P1_20210720","P1","7/20/2021",0.5,0.66836832,22.06666667,8.563333333,443,7.56,86.86666667,4.45,20.4216
"3","C","ALC","Alcova","ALC_P1_20210824","P1","8/24/2021",0.5,NA,18.15,7.765,221.935,7.46,79.05,NA,18.288
"4","C","ALC","Alcova","ALC_P1_DUP_20210614","P1_DUP","6/14/2021",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","B","ALC","Alcova","ALC_P2_20210614","P2","6/14/2021",0.5,0.54709224,18.63333333,8.496666667,437.4,8.893333333,95.26666667,7.75,18.288
"6","B","ALC","Alcova","ALC_P2_20210720","P2","7/20/2021",0.5,1.1080788,22.43333333,8.516666667,442.6,7.51,86.7,5.75,18.288
"7","A","ALC","Alcova","ALC_P3_20210614","P3","6/14/2021",0.5,NA,18.65,8.495,437.35,8.92,95.63333333,7.4,21.336
"8","A","ALC","Alcova","ALC_P3_20210720","P3","7/20/2021",0.5,NA,22.25,8.58,442.4,7.54,86.76666667,4.65,22.86
"9","A","ALC","Alcova","ALC_P3_20210824","P3","8/24/2021",0.5,NA,17.6,220.655,221.08,6.84,71.6,NA,27.432
"10","C","ALS","Alsop","ALS_P1_20220621","P1","6/21/2022",0.5,0.93869364,15,8.85,1372,9.12,90.7,2.7432,NA
"11","C","ALS","Alsop","ALS_P1_20220902","P1","9/2/2022",0.5,0.72154848,19.3,9.2,1602,12.64,137.4,2.286,2.286
"12","C","ALS","Alsop","ALS_P1_20221017","P1","10/17/2022",0.5,0.90447888,10.4,8.97,1588,12.43,110.9,1.6764,1.8288
"13","B","ALS","Alsop","ALS_P2_20220603","P2","6/3/2022",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","A","ALS","Alsop","ALS_P3_20220603","P3","6/3/2022",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","C","BOY","Boysen","BOY_LPD_20220927","LPD_27m","9/27/2022",0.5,0.2,18,7.6,495.6,6,74.5,4.24,29.06
"16","C","BOY","Boysen","BOY_LPD_20221019","LPD_29m","10/19/2022",0.5,4,15.3,8,497.4,7.2,84.4,4.4,29
"17","C","BOY","Boysen","BOY_LPD_20220829","LPD_30m","8/29/2022",0.5,6.6,21.7,8.5,479.2,6.8,91.1,6.15,30
"18","A","BOY","Boysen","BOY_RPD_20220927","RPD_11m","9/27/2022",0.5,9.2,17.9,7.9,491.7,7.7,95.4,2.38,11
"19","A","BOY","Boysen","BOY_RPD_20220615","RPD_12m","6/15/2022",0.5,0.7,15,7.6,281.4,7.7,91.6,0.25,12
"20","A","BOY","Boysen","BOY_RPD_20220712","RPD_12m","7/12/2022",0.5,4.4,21.8,7.8,368.5,7.1,95.5,2.4,12.23809
"21","B","BOY","Boysen","BOY_TPD_20220927","TPD_16m","9/27/2022",0.5,13,18,7.9,490.1,7.1,88.1,3.15,16
"22","B","BOY","Boysen","BOY_TPD_20220615","TPD_17m","6/15/2022",0.5,0.5,14.9,8.1,443.8,7.9,93.2,0.33,17
"23","C","FON","Fontanelle","FON_P1_20210630","P1","6/30/2021",0.5,NA,19.23333333,8.113333333,302.65,7.133333333,76.43333333,2.95,16.764
"24","C","FON","Fontanelle","FON_P1_20211001","P1","10/1/2021",0.5,NA,15.5,8.58,336.3666667,8.38,83.56666667,NA,16.1544
"25","B","FON","Fontanelle","FON_P2_20210630","P2","6/30/2021",0.5,NA,19.63333333,8.206666667,287.1,7.196666667,79.2,3.4,16.4592
"26","B","FON","Fontanelle","FON_P2_20210630","P2","6/30/2021",0.5,NA,19.63333,8.206667,287.1,7.196667,79.2,3.4,16.4592
"27","B","FON","Fontanelle","FON_P2_20211001","P2","10/1/2021",0.5,NA,15.76667,8.883333,335.7,8.513333,85.96667,NA,16.18488
"28","A","FON","Fontanelle","FON_P3_20210630","P3","6/30/2021",0.5,NA,19.45,8.16,287.2,7.1,77.33333,3.7,6.4008
"29","A","FON","Fontanelle","FON_P3_20211001","P3","10/1/2021",0.5,NA,15.63333,8.89,337.8333,8.603333,86.43333,NA,5.45592
"30","A","FON","Fontanelle","FON_P3_DUP_20210630","P3_DUP","6/30/2021",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","A","GLN","Glendo","GLN_P1_20210609","P1","6/9/2021",0.5,1.324885,20.53333,8.556667,608,8.326667,NA,5.9,20.4216
"32","A","GLN","Glendo","GLN_P1_20210712","P1","7/12/2021",0.5,3.765651,24.03333,8.616667,591,8.34,97.53333,3.45,17.6784
"33","A","GLN","Glendo","GLN_P1_20210809","P1","8/9/2021",0.5,7.356408,22.73333,8.48,544.3333,7.146667,81.83333,1.65,12.192
"34","B","GLN","Glendo","GLN_P2_20210609","P2","6/9/2021",0.5,1.058959,21.03333,8.626667,608.5,8.25,NA,5.65,10.668
"35","B","GLN","Glendo","GLN_P2_20210809","P2","8/9/2021",0.5,9.039339,22.6,8.61,539.3333,7.84,85.2,0.95,6.096
"36","B","GLN","Glendo","GLN_P2_DUP_20210609","P2_DUP","6/9/2021",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","C","GLN","Glendo","GLN_P3_20210609","P3","6/9/2021",0.5,NA,21.2,8.61,NA,8.01,NA,4.05,7.0104
"38","C","GLN","Glendo","GLN_P3_20210712","P3","7/12/2021",0.5,NA,23.65,8.81,NA,10.315,122.6667,1.3,6.7056
"39","C","GLN","Glendo","GLN_P3_20210809","P3","8/9/2021",0.5,NA,23,8.725,536,8.89,103.6,1,2.4384
"40","A","GRN","Granite","GRN_P1_20220701","P1","7/1/2022",0.5,NA,15.8,6.22,136.7,10.08,101.8,2.7432,19.84248
"41","A","GRN","Granite","GRN_P1_20220725","P1","7/25/2022",0.5,4.506175,19,7.91,109.4,9.3,100.2,1.9812,NA
"42","A","GRN","Granite","GRN_P1_20220815","P1","8/15/2022",0.5,2.307623,20.2,7.46,111.9,8.8,97.2,2.7432,11.43
"43","A","GRN","Granite","GRN_P1_20221019","P1","10/19/2022",0.5,2.419414,10.2,8.02,101.5,10.99,98,2.7432,9.4488
"44","A","GRN","Granite","GRN_P1_DUP_20220815","P1_DUP","8/15/2022",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","A","GRN","Granite","GRN_P1_DUP_pDUP_20220815","P1_DUP_pDUP","8/15/2022",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","B","GRN","Granite","GRN_P2_20220701","P2","7/1/2022",0.5,NA,16,7.64,137.8,10.22,103.5,3.048,14.20368
"47","B","GRN","Granite","GRN_P2_20220725","P2","7/25/2022",0.5,4.384222,19,7.74,109.7,9.32,100.6,2.286,NA
"48","B","GRN","Granite","GRN_P2_20220815","P2","8/15/2022",0.5,2.155181,20.3,7.48,112.1,9.03,99.8,3.3528,13.50264
"49","C","GRN","Granite","GRN_P3_20220701","P3","7/1/2022",0.5,NA,16.2,7.69,138.5,10.35,105.5,2.7432,19.84248
"50","C","GRN","Granite","GRN_P3_20220725","P3","7/25/2022",0.5,2.968205,19.1,6.91,110.3,9.27,100.1,2.5908,NA
"51","C","GRN","Granite","GRN_P3_20220815","P3","8/15/2022",0.5,2.588794,20.5,7.64,112.3,9.17,101.8,3.3528,21.0312
"52","C","GRN","Granite","GRN_P3_20221019","P3","10/19/2022",0.5,3.947221,10.5,8.54,101.4,11.43,102.5,2.8956,16.764
"53","C","GRY","Grayrocks","GRY_P1_20210604","P1","6/4/2021",0.5,2.142991,19.575,8.565,637,9.1725,NA,5.65,17.9832
