Site_ID_pseudonym,Reservoir_ID,Reservoir_Name,Sample_ID,Collection_Date,Species_Name,biomass_ugL,Count,Size,Functional_Group,Trophic_Group,Feeding_Type,FTG_Combined,Trophic_Group_General
C,ALC,Alcova,ALC_P1_20210614,6/14/2021,Cladocera_general,NA,6.69E-05,NA,Cladocera,Herbivore,G-Filtration,Herbivore_ G-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210614,6/14/2021,Daphnia_galeata_mendote,0.087262409,0.003866157,1.704,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210614,6/14/2021,Daphnia_pulex,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210614,6/14/2021,Daphnia_schodleri,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210614,6/14/2021,Daphnia_pulicaria,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210614,6/14/2021,Daphnia_rosea,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210614,6/14/2021,Diaphanosoma_birgei,NA,NA,NA,Cladocera,Herbivore,S-Filtration,Herbivore_ S-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210614,6/14/2021,Ceriodaphnia_reticulata,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210614,6/14/2021,Moina_spp,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210614,6/14/2021,Bosmina_longirostris,NA,NA,NA,Cladocera,Herbivore,B-Filtration,Herbivore_ B-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210614,6/14/2021,Macrothrix_rosea,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210614,6/14/2021,Kurzia_latissima,NA,NA,NA,Cladocera,Herbivore,B-Filtration,Herbivore_ B-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210614,6/14/2021,Leydlgla_quadrangularis,NA,NA,NA,Cladocera,Herbivore,C-Filtration,Herbivore_ C-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210614,6/14/2021,Chydorus_sphaericus,NA,NA,NA,Cladocera,Herbivore,C-Filtration,Herbivore_ C-Filtration,Herbivore
